-3, 0.1411200174
-2.9, 0.2392491301
-2.8, 0.3349880403
-2.7, 0.4273798210
-2.6, 0.5155013406
-2.5, 0.5984721280
-2.4, 0.6754631725
-2.3, 1.4914108243
-2.2, 1.6169930133
-2.1, 1.7264188358
-2.0, 1.8185949030
-1.9, 2.8389002974
-1.8, 3.8953905439
-1.7, 7.9333172285
-1.6, 33.9855000741
-1.5, -13.9649293795
-1.4, -5.9126983042
-1.3, -3.8542327224
-1.2, -2.7961172528
-1.1, -1.7824148620
-1.0, -1.6829420194
-0.9, -1.5666538349
-0.8, -0.7173560930
-0.7, -0.6442176877
-0.6, -0.5646424457
-0.5, -0.4794255332
-0.4, -0.3894183416
-0.3, -0.2955202066
-0.2, -0.1986693333
-0.1, -0.0998334167
0.0, 0E-10
0.1, -1.3870448077
0.2, -0.9467573151
0.3, -0.5121988221
0.4, -0.2620160850
0.5, -0.1255914727
0.6, -0.0542493184
0.7, -0.0196119100
0.8, -0.0050453812
0.9, -0.0005536535
1.0, 0E-10
1.1, 0.0004382990
1.2, 0.0031544225
1.3, 0.0096362762
1.4, 0.0207884077
1.5, 0.0371311170
1.6, 0.0589309585
1.7, 0.0862823356
1.8, 0.1191764722
1.9, 0.1575223786
2.0, 0.2011912396
2.1, 0.2499894228
2.2, 0.3037674639
2.3, 0.3622984003
2.4, 0.4254015865
2.5, 0.4928725964
2.6, 0.5645116786
2.7, 0.6401192917
2.8, 0.7195384453
2.9, 0.8025625214
3.0, 0.8890935203
3.1, 0.9788470665
3.2, 1.0717807809
3.3, 1.1676970854
3.4, 1.2664595671
3.5, 1.3679402879
3.6, 1.4719948698
3.7, 1.5785085727
3.8, 1.6874067996
3.9, 1.7985370041
4.0, 1.9118998434
4.1, 2.0271982795
4.2, 2.1445328761
4.3, 2.2637170688
4.4, 2.3847008915
4.5, 2.5073975160
4.6, 2.6317039428
4.7, 2.7575573394
4.8, 2.8849477332
4.9, 3.0137436401
5.0, 3.1440441780
5.1, 3.2754765986
5.2, 3.4082747203
5.3, 3.5422445679
5.4, 3.6773815121
5.5, 3.8136258724
5.6, 3.9508937116
5.7, 4.0891529972
5.8, 4.2284382860
5.9, 4.3686203508
6.0, 4.5098698086
